epoch;loss;seq_loss;single_loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1;val_seq_loss;val_single_loss
28;0.27569034695625305;0.2811921536922455;0.27015218138694763;0.89444405;0.6434615938076773;0.9061116127777312;0.6024875621890547;0.9021188;0.7676768;0.984648;0.32195365;0.9004397;0.6312721404300212;0.8976760057471265;0.24377107620239258;0.5775;0.9061574;0.7823129;0.9885057;0.2875;0.24744300544261932;0.24009905755519867
12;0.28358232975006104;0.2900165617465973;0.277079701423645;0.8948511;0.6105277720486574;0.8954871793296312;0.5754482071713147;0.90943366;0.71085453;0.9754211;0.38350362;0.90232414;0.6138885217994114;0.8945905172413793;0.24909624457359314;0.5610972568578554;0.9120293;0.7431694;0.9831178;0.34;0.2542475461959839;0.24394527077674866
29;0.27571529150009155;0.2812484800815582;0.2703357934951782;0.898243;0.6413890260715406;0.9065934482025255;0.6000498380264142;0.913261;0.720505;0.9747929;0.41240966;0.90169597;0.625670733392953;0.897901400862069;0.24293796718120575;0.575;0.9152941;0.708134;0.9780891;0.37;0.2476530373096466;0.23822304606437683
13;0.2834163308143616;0.289368599653244;0.27736809849739075;0.8943762;0.6153054176043911;0.8975802384838305;0.5809262948207171;0.90587896;0.73134327;0.97950447;0.35409918;0.90295225;0.6090965192699754;0.8922144396551724;0.25025656819343567;0.5685785536159601;0.91099304;0.7630058;0.985273;0.33;0.25526726245880127;0.2452458143234253
30;0.2756776511669159;0.281512588262558;0.26976490020751953;0.8930873;0.640933718957368;0.9051213537549161;0.5991529646238166;0.8997886;0.77402925;0.9860615;0.3030152;0.90106785;0.6263707401837099;0.8932561063218389;0.24853253364562988;0.556930693069307;0.90435636;0.8244275;0.9917385;0.27;0.2525295317173004;0.24453561007976532
14;0.283101886510849;0.28960520029067993;0.2773488759994507;0.89583474;0.6171302983840622;0.8990893068805195;0.5833540991776726;0.9156398;0.6855792;0.9686678;0.43359083;0.9032663;0.6210679775981692;0.8972009698275861;0.2441440373659134;0.5925;0.9188092;0.7017544;0.97557473;0.4;0.24905356764793396;0.2392343133687973
31;0.27455034852027893;0.2806929647922516;0.268839955329895;0.89780205;0.6427954299297773;0.9049662177568746;0.5983055071019188;0.90957177;0.7417795;0.97903335;0.38225767;0.9051508;0.6286876003465488;0.8951023706896553;0.24600188434123993;0.565;0.91311586;0.7722222;0.985273;0.3475;0.25028207898139954;0.241721510887146
15;0.2820139527320862;0.28900155425071716;0.2749228775501251;0.8953599;0.6160051829643103;0.8997874335477897;0.5881913303437967;0.90996337;0.7126489;0.97538185;0.38749066;0.90640706;0.6250649860027405;0.8977325790229885;0.24314579367637634;0.5775;0.916555;0.755;0.9823994;0.3775;0.2473326325416565;0.23895896971225739
32;0.2738334834575653;0.279760479927063;0.2678038477897644;0.8973611;0.6414184713940003;0.9057087738241895;0.6021425012456403;0.912025;0.7196262;0.9752641;0.40294045;0.90295225;0.6233473892524918;0.8961251795977011;0.24333935976028442;0.575;0.91485083;0.7263682;0.9802443;0.365;0.2475879192352295;0.23909085988998413
16;0.2811031639575958;0.28778958320617676;0.2743377983570099;0.8964792;0.6199368542322338;0.9014038134749096;0.588689586447434;0.91191065;0.7115808;0.97428244;0.40269125;0.90201;0.6189517165053688;0.8964861709770114;0.24615909159183502;0.57;0.91448694;0.7178218;0.97952586;0.3625;0.2521132528781891;0.24020497500896454
33;0.2734392285346985;0.27917909622192383;0.2676897943019867;0.8988196;0.6419405011378576;0.9045478466138218;0.5963119860453526;0.9130722;0.7274735;0.97577447;0.41041616;0.9067211;0.6282808310012012;0.8965777658045978;0.24295304715633392;0.575;0.9160254;0.7641026;0.983477;0.3725;0.24755042791366577;0.23835571110248566
17;0.28128182888031006;0.28720802068710327;0.2753235697746277;0.8958008;0.6261786961062141;0.9007020618147484;0.5895838524794418;0.9073515;0.7363134;0.9793867;0.36531273;0.90420854;0.627745845723682;0.8964933548850573;0.24737010896205902;0.57;0.91193086;0.7714286;0.9856322;0.3375;0.2526649236679077;0.24207526445388794
34;0.2747249901294708;0.2804111838340759;0.2689318358898163;0.8967845;0.6463241142616766;0.9078856138532141;0.6028898854010961;0.90541613;0.7658991;0.9832345;0.3481186;0.9026382;0.6281290608702443;0.897790948275862;0.24452677369117737;0.575;0.90906084;0.78125;0.9874282;0.3125;0.24803844094276428;0.24101509153842926
18;0.27965208888053894;0.2848837077617645;0.27434924244880676;0.895733;0.626802293367056;0.9005757887830431;0.5894369706028899;0.90734476;0.7355745;0.9793082;0.36531273;0.90201;0.617526216758876;0.896509518678161;0.24685074388980865;0.5635910224438903;0.91063124;0.75287354;0.9845546;0.3275;0.2516929507255554;0.24200838804244995
35;0.2741345465183258;0.27966099977493286;0.2685936987400055;0.89620787;0.645454011291921;0.907971596140726;0.601644245142003;0.90483075;0.7639889;0.9832738;0.3436332;0.90106785;0.6260997789588724;0.8971812140804597;0.24512706696987152;0.5925;0.90675455;0.7852349;0.9885057;0.2925;0.2489420771598816;0.2413119524717331
19;0.280921071767807;0.286297082901001;0.27548566460609436;0.89390135;0.6260415269910942;0.9021817486901129;0.587942202291978;0.90267116;0.7541643;0.98319525;0.32718664;0.90169597;0.6222297157731713;0.8967582614942529;0.24679438769817352;0.58;0.9078904;0.78064513;0.98778737;0.3025;0.250265508890152;0.24332313239574432
36;0.2742355763912201;0.28068894147872925;0.26811882853507996;0.8982091;0.6488399938659181;0.90830492426568;0.6013933814381687;0.9088362;0.752495;0.9805253;0.3757787;0.90483665;0.6270133254877018;0.8975745330459771;0.243946835398674;0.57356608478803;0.9119894;0.7803468;0.9863506;0.3375;0.24875253438949585;0.23914124071598053
20;0.27776557207107544;0.2834547460079193;0.2721373438835144;0.8973272;0.6260505836228143;0.9011624995082288;0.5920757538001495;0.91326606;0.71158797;0.973615;0.41315722;0.90295225;0.6230904724424279;0.8975844109195403;0.24425169825553894;0.57;0.9159664;0.71770334;0.97880745;0.375;0.24887968599796295;0.2396237999200821
37;0.27173537015914917;0.27799487113952637;0.265611469745636;0.896581;0.6500318229436388;0.9084659698337777;0.6057812110640418;0.9049563;0.7677778;0.9835879;0.34438077;0.90295225;0.6259725417862128;0.8952370689655171;0.24617987871170044;0.56575682382134;0.9082811;0.79738563;0.98886496;0.305;0.25108879804611206;0.24127118289470673
21;0.2798410654067993;0.2857666611671448;0.27405357360839844;0.8964453;0.6279062408830962;0.9021549501596742;0.5920757538001495;0.9119074;0.7112676;0.9742432;0.40269125;0.9038945;0.633482705683973;0.8962760416666667;0.24303926527500153;0.5735294117647058;0.91605103;0.7281553;0.97988504;0.375;0.24677638709545135;0.23930220305919647
38;0.27269721031188965;0.2778854966163635;0.26745176315307617;0.8983787;0.6532117122985661;0.9088319033266349;0.6060228969636635;0.9074296;0.76720965;0.9826063;0.3638176;0.9051508;0.633064679156551;0.8958746408045979;0.2423267513513565;0.5725;0.9109272;0.7987805;0.98814654;0.3275;0.24556605517864227;0.2390872836112976
22;0.27802586555480957;0.28377413749694824;0.2722005248069763;0.8978699;0.6277754808086983;0.9029253565434893;0.5960627959132818;0.9202785;0.68125904;0.9654089;0.46922502;0.9045226;0.6284157004196526;0.8965193965517242;0.24289323389530182;0.5785536159600998;0.9232082;0.6889764;0.97162354;0.4375;0.2467668205499649;0.2390197366476059
39;0.2717880606651306;0.2776900827884674;0.2657800614833832;0.8984804;0.6469262470977174;0.9086038418643276;0.6047844505357588;0.9117992;0.7326642;0.97699165;0.40019935;0.9051508;0.635042940686458;0.8986566091954025;0.23972025513648987;0.5860349127182045;0.91394264;0.76344085;0.9841954;0.355;0.24328862130641937;0.2361520379781723
23;0.27712690830230713;0.2821383476257324;0.2720496952533722;0.8971576;0.6337100453539695;0.9028027769930692;0.5900822327435834;0.91392094;0.7061791;0.97255486;0.41863942;0.90483665;0.6223955832852706;0.894694683908046;0.24512778222560883;0.5661764705882353;0.9183811;0.7214612;0.9780891;0.395;0.24831190705299377;0.24194380640983582
40;0.2727149426937103;0.27805623412132263;0.2673235535621643;0.89909095;0.6521533098672823;0.9084217458989174;0.5993525896414342;0.90844715;0.7667009;0.9821744;0.3717917;0.90609294;0.6358908304282004;0.8989583333333332;0.24174019694328308;0.5685785536159601;0.9123797;0.79532164;0.9874282;0.34;0.24550898373126984;0.23797111213207245
24;0.27712392807006836;0.28255578875541687;0.2715897858142853;0.8984804;0.6358750068041423;0.9044913779323954;0.5983055071019188;0.9136789;0.7202073;0.9745573;0.41564915;0.9054648;0.628587384590583;0.8971012931034483;0.2421422004699707;0.5675;0.91815424;0.73023254;0.9791667;0.3925;0.2461957484483719;0.23808850347995758
41;0.2725067436695099;0.27794337272644043;0.26699140667915344;0.9007191;0.654224149707396;0.9101580392210925;0.6008466135458167;0.91340226;0.7448152;0.9777769;0.4116621;0.9026382;0.6262514055918544;0.8976598419540229;0.24225006997585297;0.59;0.91593814;0.71428573;0.9784483;0.375;0.24640560150146484;0.2380945384502411
25;0.27533984184265137;0.28186801075935364;0.2687343657016754;0.8976325;0.6297304276240683;0.9033613438800633;0.5908298031397957;0.9163298;0.69749904;0.97008127;0.43782705;0.90483665;0.625716263109014;0.898487787356322;0.2422029674053192;0.5675;0.9206511;0.706383;0.9752155;0.415;0.2464849054813385;0.23792117834091187
42;0.2733045518398285;0.27883628010749817;0.26785197854042053;0.900346;0.6529772647446194;0.9091626240005621;0.6027909294791927;0.91143495;0.7558306;0.97985786;0.39571393;0.9038945;0.6343141147856522;0.8992555675287358;0.24078470468521118;0.5856079404466501;0.9141043;0.7447917;0.9823994;0.3575;0.2449694722890854;0.23659972846508026
26;0.2750966548919678;0.2809779644012451;0.2692733108997345;0.898243;0.6385657442831969;0.9047769158339367;0.5989052002985817;0.91186714;0.7297052;0.976599;0.40094692;0.90295225;0.6260692494603266;0.8968489583333333;0.243631511926651;0.5675;0.91540784;0.72195125;0.97952586;0.37;0.24794259667396545;0.23932071030139923
