Feature,Reference,HighFiO2,ReferenceRank,HighRank,SHAP_change
Platelets_full_min,0.016103072,0.013094702,97.0,115.0,-0.0030083703
Oxygen saturation_last10%_min,0.064839646,0.061633505,21.0,25.0,-0.0032061413
pH_last10%_min,0.0190873,0.015793053,90.0,105.0,-0.0032942463
ICU_Medical Intensive Care Unit (MICU),0.007239564,0.0038759643,147.0,164.0,-0.0033635995
Systolic blood pressure_full_max,0.010910278,0.007528488,121.0,147.0,-0.0033817901
Creatinine_full_std,0.030123997,0.026741354,65.0,68.0,-0.0033826437
pH_full_min,0.019788476,0.01633405,87.0,101.0,-0.0034544263
Diastolic blood pressure_full_min,0.031628698,0.027476856,59.0,67.0,-0.0041518416
Diastolic blood pressure_last25%_min,0.010029861,0.0057682493,124.0,158.0,-0.0042616115
Oxygen saturation_last25%_min,0.067347094,0.06304024,18.0,22.0,-0.004306853
Heart Rate_last25%_min,0.025705898,0.02124779,74.0,86.0,-0.004458109
Hematocrit_full_mean,0.019588688,0.015096694,88.0,107.0,-0.004491994
Lactate_last25%_min,0.04654902,0.041808512,41.0,44.0,-0.0047405064
Prothrombin time_full_mean,0.015451314,0.0101123275,99.0,130.0,-0.0053389864
pH_full_std,0.012639443,0.0073003666,108.0,148.0,-0.0053390767
Temperature_last25%_max,0.027134439,0.021186816,71.0,87.0,-0.0059476234
Temperature_last10%_min,0.030093482,0.023866953,66.0,76.0,-0.0062265284
pH_last10%_max,0.026802164,0.020096038,72.0,90.0,-0.006706126
Diastolic blood pressure_last10%_mean,0.066802815,0.05999326,19.0,28.0,-0.006809555
Diastolic blood pressure_last10%_min,0.03412219,0.025963102,50.0,72.0,-0.00815909
Systolic blood pressure_last10%_mean,0.046105586,0.037583183,42.0,51.0,-0.0085224025
Temperature_full_max,0.08737616,0.078707114,12.0,12.0,-0.008669049
pH_last10%_std,0.019236386,0.010539312,89.0,126.0,-0.008697074
Temperature_last10%_max,0.03311641,0.024349133,55.0,75.0,-0.008767279
Respiratory rate_full_min,0.036906306,0.027978467,49.0,66.0,-0.008927839
Diastolic blood pressure_last25%_mean,0.075695045,0.06649187,15.0,19.0,-0.009203173
Lactate_last25%_max,0.03370603,0.02374972,53.0,77.0,-0.009956311
Fraction inspired oxygen_full_max,0.026300186,0.015432847,73.0,106.0,-0.01086734
Fraction inspired oxygen_last25%_min,0.06797633,0.05703923,17.0,30.0,-0.010937102
Respiratory rate_full_max,0.048851166,0.0378554,37.0,50.0,-0.010995764
Glascow coma scale verbal response_full_mean,0.04030765,0.028790794,47.0,64.0,-0.011516854
Systolic blood pressure_last25%_min,0.05070297,0.03896098,32.0,47.0,-0.011741992
Glucose_last10%_min,0.058514107,0.046125825,29.0,37.0,-0.0123882815
ICU_Medical/Surgical Intensive Care Unit (MICU/SICU),0.043088052,0.030008554,45.0,61.0,-0.013079498
Fraction inspired oxygen_full_mean,0.03174658,0.018599818,57.0,93.0,-0.013146764
Potassium_last10%_min,0.0626891,0.04904079,23.0,35.0,-0.013648313
Respiratory rate_last25%_mean,0.119044684,0.10452893,6.0,9.0,-0.014515758
Sodium_full_max,0.06076482,0.044248313,27.0,39.0,-0.016516507
Creatinine_last10%_min,0.20243302,0.18479265,2.0,4.0,-0.017640367
Temperature_last25%_min,0.0971774,0.078303605,8.0,13.0,-0.018873796
Hemoglobin_full_mean,0.049199987,0.024576163,36.0,74.0,-0.024623824
White blood cell count_last10%_min,0.13705835,0.11146933,5.0,6.0,-0.025589019
Hemoglobin_full_max,0.09420959,0.065592185,10.0,21.0,-0.028617404
Bilirubin_full_min,0.101072036,0.0416396,7.0,45.0,-0.059432436
