Feature,Reference,HighGlucose,ReferenceRank,HighRank,SHAP_change
Oxygen saturation_full_max,0.0010231419695597272,9.399630029389165e-07,125.0,150.0,-0.0010222020065567884
Diastolic blood pressure_full_min,0.042668950262838956,0.04158786166731727,38.0,44.0,-0.0010810885955216884
Glascow coma scale eye opening_last10%_std,0.012123888432896805,0.010993774950870639,84.0,85.0,-0.0011301134820261658
Glascow coma scale verbal response_full_std,0.08412391489634319,0.08278066750781118,13.0,15.0,-0.001343247388532004
Systolic blood pressure_last25%_std,0.007056484563666027,0.005626015486335522,95.0,100.0,-0.001430469077330505
Systolic blood pressure_last25%_max,0.014927981905284654,0.012312461960466594,78.0,84.0,-0.0026155199448180608
White blood cell count_full_min,0.051556354604605774,0.04839835600177001,30.0,37.0,-0.0031579986028357626
Glascow coma scale verbal response_last10%_std,0.025301216153378957,0.021872818549987086,58.0,65.0,-0.003428397603391871
White blood cell count_full_max,0.02309632959997884,0.01927346632635316,65.0,69.0,-0.0038228632736256804
White blood cell count_full_std,0.06542517262983255,0.06070928348221721,20.0,28.0,-0.0047158891476153375
White blood cell count_last10%_min,0.09593696144066216,0.09033035448421825,8.0,11.0,-0.00560660695644391
Systolic blood pressure_last10%_max,0.03273771711002506,0.02639438022033408,51.0,60.0,-0.006343336889690979
ICU_Neuro Intermediate,0.015798988788997034,0.009090993392007769,73.0,91.0,-0.006707995396989266
Systolic blood pressure_last10%_std,0.036771118615726676,0.0276043083905361,44.0,58.0,-0.009166810225190575
Bilirubin_full_min,0.05253531181965651,0.04254811173175472,29.0,43.0,-0.009987200087901792
Glascow coma scale motor response_full_std,0.1388536014726049,0.12847503679490765,2.0,5.0,-0.010378564677697238
ICU_Cardiac Vascular Intensive Care Unit (CVICU),0.08938571333871677,0.07753671326744917,10.0,19.0,-0.011849000071267601
Temperature_last10%_min,0.11480271920119714,0.08344340694507726,6.0,14.0,-0.031359312256119876
